CustomerID,FirstName,LastName,Email,Phone,Gender,Age,City,State,Country,LoyaltyScore
1,Joseph,Hart,contreraselizabeth@holt.net,299-616-5484x7838,M,42,Montoyaton,Wisconsin,French Guiana,
2,Sue,Foster,krystalreed@skinner-fleming.com,001-626-141-0170x53874,M,64,North Kristen,Louisiana,Saint Vincent and the Grenadines,62.0
3,Elizabeth,Henry,kstewart@williamson-myers.com,979.047.7286x2588,F,51,Martinezville,Louisiana,Reunion,96.0
4,Robert,Rollins,gabrielmurray@gross.biz,001-462-537-9649x158,F,63,Jonathanmouth,South Carolina,Faroe Islands,
5,Anthony,Hernandez,zacharymckenzie@morris.org,(106)549-9657,M,35,Port Alyssa,California,Wallis and Futuna,56.0
6,Michele,Kim,moralesdaniel@yahoo.com,919.717.7626,F,19,New Davidberg,Illinois,Panama,
7,Ann,Turner,alvarezhannah@garcia-mcdonald.info,(064)646-3061x920,F,51,Port Tylerberg,South Dakota,Honduras,
8,Pamela,Gibson,asmith@gmail.com,(586)158-7523,M,37,Edwardsbury,Washington,Isle of Man,75.0
9,Kristina,Wells,brookssherri@montoya.com,694-356-2909,M,54,Jessicastad,New York,Congo,
10,Robert,Moore,melaniechen@yahoo.com,691.964.1250,M,23,Mccarthyborough,Ohio,Nigeria,
11,Elizabeth,Lee,sharon14@johnson.info,+1-158-426-0218x590,M,23,Watsonfort,Louisiana,French Polynesia,
12,Todd,Harper,aguirredonald@miller-marquez.org,001-166-188-3174x34819,M,46,North Sarahburgh,California,New Caledonia,52.0
13,Scott,Lopez,hillnatalie@gmail.com,(255)815-4905x601,M,28,West Arieltown,North Dakota,India,
14,Daniel,Whitney,sandra11@molina.com,680.077.0043x850,F,37,Richardfort,North Carolina,Spain,89.0
15,Kathryn,Avery,,067.470.2780,M,34,North Cassandraview,Idaho,New Caledonia,98.0
16,Jennifer,Lee,ksellers@zamora.org,9231667355,F,48,East Victoria,Maine,Lesotho,40.0
17,Christian,Ford,jacksonjohnathan@yahoo.com,(931)509-0141x1217,F,45,Mitchellfort,Mississippi,Cameroon,53.0
18,Jessica,Brown,austinbruce@waters-morrow.com,001-167-986-1903x3076,F,32,Alvarezfort,California,New Caledonia,96.0
19,Mary,Winters,jasmine39@gmail.com,+1-854-381-6900x594,M,35,Lake Joshua,Virginia,Montenegro,
20,Dawn,Rodriguez,martha81@wright.com,,M,36,Courtneytown,West Virginia,Aruba,74.0
21,Randy,Silva,ann26@hotmail.com,(204)892-1732,F,68,Dianeborough,Idaho,Ghana,
22,Caitlyn,Hernandez,dean46@gonzalez-lawrence.com,(298)933-7564x49449,F,58,South Tommy,California,Chad,
23,Timothy,Joseph,christophermoore@yahoo.com,(491)056-5023,M,45,Lake Taylor,Kansas,Zimbabwe,
24,Daniel,Gonzalez,hurleylinda@owens-herring.biz,066.643.4729x600,M,25,East Codystad,Missouri,Macao,
25,Angela,Nguyen,christophersmall@johnson.com,047.316.8210,F,37,East Autumn,Nebraska,Australia,84.0
26,Barbara,Woods,derekrodriguez@chapman.com,(544)770-8909x824,F,26,South Kimberlyfurt,New Hampshire,Latvia,
27,Melissa,Mosley,marshdustin@gmail.com,,F,46,East Selenabury,Wyoming,Slovenia,
28,Michelle,Singleton,nhill@gmail.com,101.251.2730x8085,F,65,West Ericfurt,New York,Iraq,
29,Thomas,Randall,williamrodriguez@yahoo.com,537-443-2924,F,40,South Ashleymouth,Minnesota,Chad,82.0
30,Monica,Finley,jamiehanna@scott.info,244.378.7847x415,F,32,Port Todd,Hawaii,Timor-Leste,61.0
31,Jennifer,Brooks,sabrina50@gmail.com,003.109.3792x54596,F,33,Lake Stephanie,North Carolina,United Arab Emirates,96.0
32,Maria,Anderson,marc66@browning.com,(722)865-5032x61794,M,60,Travisberg,Arkansas,Ghana,73.0
33,Jeremy,Sloan,briannataylor@santos.com,+1-356-958-6090,F,33,Alvarezchester,West Virginia,Kenya,
34,Kenneth,Peterson,pattonwilliam@yahoo.com,340-057-9477x1853,F,51,Christineport,Connecticut,Honduras,98.0
35,Rick,Hunt,jeremycline@crawford.net,646-901-1992x24776,F,47,Sandyview,Nevada,Bangladesh,41.0
36,Michael,Wu,cjordan@yahoo.com,6630472380,F,34,New Sharon,Pennsylvania,Syrian Arab Republic,
37,Tiffany,Shepard,kevingill@mcdonald-williams.com,001-947-299-8480x282,M,33,Garciafort,New Hampshire,Latvia,44.0
38,Erin,Williams,,(679)196-9298,M,44,Jamesstad,Alaska,Somalia,55.0
39,Joseph,Clements,andrew78@hotmail.com,,M,62,East Elizabethfurt,South Carolina,Bhutan,77.0
